index,Matchup URL,Matchup,Teams,Opponent,Round Win Pct,Map Win Pct
0,https://www.vlr.gg/371273/leviat-n-vs-kr-esports-champions-tour-2024-americas-stage-2-lbf,LEVIATÁN_vs_KRÜ Esports,A,B,0.5925925925925926,0.75
1,https://www.vlr.gg/371273/leviat-n-vs-kr-esports-champions-tour-2024-americas-stage-2-lbf,LEVIATÁN_vs_KRÜ Esports,A,Others,0.5509641873278237,0.7058823529411765
2,https://www.vlr.gg/371273/leviat-n-vs-kr-esports-champions-tour-2024-americas-stage-2-lbf,LEVIATÁN_vs_KRÜ Esports,B,A,0.4074074074074074,0.25
3,https://www.vlr.gg/371273/leviat-n-vs-kr-esports-champions-tour-2024-americas-stage-2-lbf,LEVIATÁN_vs_KRÜ Esports,B,Others,0.48854961832061067,0.4444444444444444
0,https://www.vlr.gg/337411/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-ubf,G2 Esports_vs_100 Thieves,A,B,0.3953488372093023,0.0
1,https://www.vlr.gg/337411/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-ubf,G2 Esports_vs_100 Thieves,A,Others,0.5418502202643172,0.6363636363636364
2,https://www.vlr.gg/337411/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-ubf,G2 Esports_vs_100 Thieves,B,A,0.6046511627906976,1.0
3,https://www.vlr.gg/337411/g2-esports-vs-100-thieves-champions-tour-2024-americas-stage-1-ubf,G2 Esports_vs_100 Thieves,B,Others,0.5375722543352601,0.5882352941176471
0,https://www.vlr.gg/371270/leviat-n-vs-g2-esports-champions-tour-2024-americas-stage-2-ubf,LEVIATÁN_vs_G2 Esports,A,B,0.4972375690607735,0.5
1,https://www.vlr.gg/371270/leviat-n-vs-g2-esports-champions-tour-2024-americas-stage-2-ubf,LEVIATÁN_vs_G2 Esports,A,Others,0.6266666666666667,0.9333333333333333
2,https://www.vlr.gg/371270/leviat-n-vs-g2-esports-champions-tour-2024-americas-stage-2-ubf,LEVIATÁN_vs_G2 Esports,B,A,0.5027624309392266,0.5
3,https://www.vlr.gg/371270/leviat-n-vs-g2-esports-champions-tour-2024-americas-stage-2-ubf,LEVIATÁN_vs_G2 Esports,B,Others,0.5172413793103449,0.6111111111111112
0,https://www.vlr.gg/337414/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-lbf,G2 Esports_vs_LEVIATÁN,A,B,0.45161290322580644,0.3333333333333333
1,https://www.vlr.gg/337414/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-lbf,G2 Esports_vs_LEVIATÁN,A,Others,0.543859649122807,0.6363636363636364
2,https://www.vlr.gg/337414/g2-esports-vs-leviat-n-champions-tour-2024-americas-stage-1-lbf,G2 Esports_vs_LEVIATÁN,B,A,0.5483870967741935,0.6666666666666666
